datetime,name,open,high,low,close,volume,type,symbol,ltp,ltt,ltq,cp,segment,ohlc_vol,ohlc_ts
2026-08-03 09:07:10.627,NIFTY,24571.8,24571.8,24571.8,24571.8,0,INDEX,NIFTY,24571.8,1785728230000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:10.729,NIFTY,24571.8,24571.8,24571.8,24571.8,0,INDEX,NIFTY,24571.8,1785728230000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:10.879,NIFTY,24571.85,24571.85,24571.85,24571.85,0,INDEX,NIFTY,24571.85,1785728230000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:11.179,NIFTY,24571.9,24571.9,24571.9,24571.9,0,INDEX,NIFTY,24571.9,1785728231000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:11.491,NIFTY,24572.5,24572.5,24572.5,24572.5,0,INDEX,NIFTY,24572.5,1785728231000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:11.630,NIFTY,24571.8,24571.8,24571.8,24571.8,0,INDEX,NIFTY,24571.8,1785728231000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:11.929,NIFTY,24571.45,24571.45,24571.45,24571.45,0,INDEX,NIFTY,24571.45,1785728231000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:12.230,NIFTY,24569.7,24569.7,24569.7,24569.7,0,INDEX,NIFTY,24569.7,1785728232000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:12.379,NIFTY,24570.85,24570.85,24570.85,24570.85,0,INDEX,NIFTY,24570.85,1785728232000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:12.679,NIFTY,24572.55,24572.55,24572.55,24572.55,0,INDEX,NIFTY,24572.55,1785728232000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:12.979,NIFTY,24574.6,24574.6,24574.6,24574.6,0,INDEX,NIFTY,24574.6,1785728232000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:13.129,NIFTY,24575.35,24575.35,24575.35,24575.35,0,INDEX,NIFTY,24575.35,1785728233000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:13.430,NIFTY,24572.25,24572.25,24572.25,24572.25,0,INDEX,NIFTY,24572.25,1785728233000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:13.729,NIFTY,24569.95,24569.95,24569.95,24569.95,0,INDEX,NIFTY,24569.95,1785728233000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:13.879,NIFTY,24569.95,24569.95,24569.95,24569.95,0,INDEX,NIFTY,24569.95,1785728233000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:14.179,NIFTY,24571.8,24571.8,24571.8,24571.8,0,INDEX,NIFTY,24571.8,1785728234000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:14.479,NIFTY,24571.35,24571.35,24571.35,24571.35,0,INDEX,NIFTY,24571.35,1785728234000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:14.629,NIFTY,24568.0,24568.0,24568.0,24568.0,0,INDEX,NIFTY,24568.0,1785728234000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:14.930,NIFTY,24568.65,24568.65,24568.65,24568.65,0,INDEX,NIFTY,24568.65,1785728234000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:15.229,NIFTY,24568.4,24568.4,24568.4,24568.4,0,INDEX,NIFTY,24568.4,1785728235000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:15.379,NIFTY,24567.35,24567.35,24567.35,24567.35,0,INDEX,NIFTY,24567.35,1785728235000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:15.679,NIFTY,24566.7,24566.7,24566.7,24566.7,0,INDEX,NIFTY,24566.7,1785728235000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:15.979,NIFTY,24566.85,24566.85,24566.85,24566.85,0,INDEX,NIFTY,24566.85,1785728235000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:16.129,NIFTY,24566.9,24566.9,24566.9,24566.9,0,INDEX,NIFTY,24566.9,1785728236000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:16.430,NIFTY,24567.1,24567.1,24567.1,24567.1,0,INDEX,NIFTY,24567.1,1785728236000,0,24383.6,INDICES,0,1785695400000
2026-08-03 09:07:16.730,NIFTY,24566.85,24566.85,24566.85,24566.85,0,INDEX,NIFTY,24566.85,1785728236000,0,24383.6,INDICES,0,1785695400000
