datetime,name,open,high,low,close,volume,oi,type,expiry,symbol,ltp,ltt,ltq,cp,atp,segment,bid_px,bid_qty,ask_px,ask_qty,bid_px_2,bid_qty_2,ask_px_2,ask_qty_2,bid_px_3,bid_qty_3,ask_px_3,ask_qty_3,bid_px_4,bid_qty_4,ask_px_4,ask_qty_4,bid_px_5,bid_qty_5,ask_px_5,ask_qty_5,ohlc_vol,ohlc_ts,tbq,tsq,vtt
2026-08-07 09:46:13.219,FINNIFTY,26800.1,26909.0,26755.0,26761.0,9780,41100,FUT,2026-08-25,FINNIFTY FUT 25 AUG 26,26761.0,1786075880814,60,27002.1,26839.75,NFO-FUT,26760.0,60,26777.6,60,26755.2,60,26777.7,60,26755.1,660,26778.0,120,26752.3,60,26778.1,300,26752.2,300,26778.6,600,9780.0,1786041000000.0,12720,12420,9780
2026-08-07 09:46:14.624,FINNIFTY,26800.1,26909.0,26755.0,26761.0,9780,41100,FUT,2026-08-25,FINNIFTY FUT 25 AUG 26,26761.0,1786075880814,60,27002.1,26839.75,NFO-FUT,26760.0,60,26777.6,60,26755.2,60,26777.7,60,26755.1,660,26777.9,120,26752.1,60,26778.0,300,26752.0,300,26778.4,600,9780.0,1786041000000.0,13320,12660,9780
2026-08-07 09:46:15.624,FINNIFTY,0.0,0.0,0.0,0.0,0,0,FUT,2026-09-29,FINNIFTY FUT 29 SEP 26,0.0,315513000000,0,26968.2,0.0,NFO-FUT,24435.0,120,0.0,0,24433.0,60,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1786041000000.0,180,0,0
2026-08-07 09:46:16.291,FINNIFTY,26800.1,26909.0,26755.0,26761.0,9780,41100,FUT,2026-08-25,FINNIFTY FUT 25 AUG 26,26761.0,1786075880814,60,27002.1,26839.75,NFO-FUT,26760.0,60,26777.6,60,26755.2,60,26777.7,60,26755.1,660,26777.9,420,26753.2,300,26778.4,600,26752.1,60,26778.7,60,9780.0,1786041000000.0,13320,12720,9780
2026-08-07 09:46:17.928,FINNIFTY,26800.1,26909.0,26755.0,26761.0,9780,41100,FUT,2026-08-25,FINNIFTY FUT 25 AUG 26,26761.0,1786075880814,60,27002.1,26839.75,NFO-FUT,26760.0,60,26776.6,60,26755.2,60,26776.7,60,26755.1,660,26776.9,300,26752.0,300,26777.0,120,26751.0,60,26778.0,660,9780.0,1786041000000.0,12600,12720,9780
2026-08-07 09:46:17.944,FINNIFTY,,,,,0,0,FUT,2026-10-27,FINNIFTY FUT 27 OCT 26,0.0,315513000000,0,0.0,0.0,NFO-FUT,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,0,0,0
2026-08-07 09:46:19.302,FINNIFTY,26800.1,26909.0,26755.0,26761.0,9780,41100,FUT,2026-08-25,FINNIFTY FUT 25 AUG 26,26761.0,1786075880814,60,27002.1,26839.75,NFO-FUT,26760.0,60,26775.0,420,26755.2,60,26775.6,120,26755.1,660,26776.4,600,26751.0,60,26776.7,60,26750.7,60,26776.8,60,9780.0,1786041000000.0,11940,12720,9780
2026-08-07 09:46:20.927,FINNIFTY,26800.1,26909.0,26755.0,26761.0,9780,41100,FUT,2026-08-25,FINNIFTY FUT 25 AUG 26,26761.0,1786075880814,60,27002.1,26839.75,NFO-FUT,26760.0,60,26772.8,60,26755.1,660,26772.9,300,26751.1,60,26773.2,120,26751.0,60,26773.8,600,26750.5,60,26774.1,60,9780.0,1786041000000.0,11880,13020,9780
2026-08-07 09:46:22.731,FINNIFTY,26800.1,26909.0,26755.0,26761.0,9780,41100,FUT,2026-08-25,FINNIFTY FUT 25 AUG 26,26761.0,1786075880814,60,27002.1,26839.75,NFO-FUT,26760.0,60,26772.1,60,26755.1,660,26772.2,120,26751.1,60,26772.8,300,26751.0,60,26773.4,60,26750.5,60,26773.9,540,9780.0,1786041000000.0,12060,12660,9780
2026-08-07 09:46:24.076,FINNIFTY,26800.1,26909.0,26755.0,26761.0,9780,41100,FUT,2026-08-25,FINNIFTY FUT 25 AUG 26,26761.0,1786075880814,60,27002.1,26839.75,NFO-FUT,26760.0,60,26771.7,60,26755.1,660,26771.8,120,26751.1,60,26772.0,60,26751.0,60,26772.6,300,26750.5,60,26773.3,600,9780.0,1786041000000.0,12060,12660,9780
