datetime,name,open,high,low,close,volume,type,symbol,ltp,ltt,ltq,cp,segment,ohlc_vol,ohlc_ts
2026-08-07 09:46:17.944,FINNIFTY,26703.25,26703.25,26614.55,26678.2,0,INDEX,FINNIFTY,26678.2,1786076177000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:18.053,FINNIFTY,26703.25,26703.25,26614.55,26678.6,0,INDEX,FINNIFTY,26678.6,1786076177000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:18.356,FINNIFTY,26703.25,26703.25,26614.55,26677.3,0,INDEX,FINNIFTY,26677.3,1786076178000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:18.657,FINNIFTY,26703.25,26703.25,26614.55,26676.3,0,INDEX,FINNIFTY,26676.3,1786076178000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:18.805,FINNIFTY,26703.25,26703.25,26614.55,26676.2,0,INDEX,FINNIFTY,26676.2,1786076178000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:19.105,FINNIFTY,26703.25,26703.25,26614.55,26675.0,0,INDEX,FINNIFTY,26675.0,1786076178000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:19.405,FINNIFTY,26703.25,26703.25,26614.55,26675.0,0,INDEX,FINNIFTY,26675.0,1786076179000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:19.562,FINNIFTY,26703.25,26703.25,26614.55,26675.15,0,INDEX,FINNIFTY,26675.15,1786076179000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:19.855,FINNIFTY,26703.25,26703.25,26614.55,26673.1,0,INDEX,FINNIFTY,26673.1,1786076179000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:20.156,FINNIFTY,26703.25,26703.25,26614.55,26674.6,0,INDEX,FINNIFTY,26674.6,1786076179000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:20.307,FINNIFTY,26703.25,26703.25,26614.55,26674.6,0,INDEX,FINNIFTY,26674.6,1786076180000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:20.605,FINNIFTY,26703.25,26703.25,26614.55,26674.85,0,INDEX,FINNIFTY,26674.85,1786076180000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:20.903,FINNIFTY,26703.25,26703.25,26614.55,26673.6,0,INDEX,FINNIFTY,26673.6,1786076180000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:21.054,FINNIFTY,26703.25,26703.25,26614.55,26672.1,0,INDEX,FINNIFTY,26672.1,1786076180000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:21.354,FINNIFTY,26703.25,26703.25,26614.55,26672.35,0,INDEX,FINNIFTY,26672.35,1786076181000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:21.655,FINNIFTY,26703.25,26703.25,26614.55,26673.0,0,INDEX,FINNIFTY,26673.0,1786076181000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:21.804,FINNIFTY,26703.25,26703.25,26614.55,26673.6,0,INDEX,FINNIFTY,26673.6,1786076181000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:22.103,FINNIFTY,26703.25,26703.25,26614.55,26672.4,0,INDEX,FINNIFTY,26672.4,1786076181000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:22.402,FINNIFTY,26703.25,26703.25,26614.55,26673.65,0,INDEX,FINNIFTY,26673.65,1786076182000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:22.554,FINNIFTY,26703.25,26703.25,26614.55,26672.65,0,INDEX,FINNIFTY,26672.65,1786076182000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:22.853,FINNIFTY,26703.25,26703.25,26614.55,26672.5,0,INDEX,FINNIFTY,26672.5,1786076182000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:23.154,FINNIFTY,26703.25,26703.25,26614.55,26673.25,0,INDEX,FINNIFTY,26673.25,1786076182000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:23.312,FINNIFTY,26703.25,26703.25,26614.55,26674.35,0,INDEX,FINNIFTY,26674.35,1786076183000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:23.604,FINNIFTY,26703.25,26703.25,26614.55,26672.9,0,INDEX,FINNIFTY,26672.9,1786076183000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:23.903,FINNIFTY,26703.25,26703.25,26614.55,26673.45,0,INDEX,FINNIFTY,26673.45,1786076183000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:24.053,FINNIFTY,26703.25,26703.25,26614.55,26670.85,0,INDEX,FINNIFTY,26670.85,1786076183000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:24.353,FINNIFTY,26703.25,26703.25,26614.55,26672.2,0,INDEX,FINNIFTY,26672.2,1786076184000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:24.654,FINNIFTY,26703.25,26703.25,26614.55,26671.75,0,INDEX,FINNIFTY,26671.75,1786076184000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:24.805,FINNIFTY,26703.25,26703.25,26614.55,26671.8,0,INDEX,FINNIFTY,26671.8,1786076184000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:25.103,FINNIFTY,26703.25,26703.25,26614.55,26671.6,0,INDEX,FINNIFTY,26671.6,1786076184000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:25.403,FINNIFTY,26703.25,26703.25,26614.55,26672.45,0,INDEX,FINNIFTY,26672.45,1786076185000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:25.554,FINNIFTY,26703.25,26703.25,26614.55,26671.15,0,INDEX,FINNIFTY,26671.15,1786076185000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:25.861,FINNIFTY,26703.25,26703.25,26614.55,26671.25,0,INDEX,FINNIFTY,26671.25,1786076185000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:26.154,FINNIFTY,26703.25,26703.25,26614.55,26672.7,0,INDEX,FINNIFTY,26672.7,1786076185000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:26.306,FINNIFTY,26703.25,26703.25,26614.55,26672.5,0,INDEX,FINNIFTY,26672.5,1786076186000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:26.603,FINNIFTY,26703.25,26703.25,26614.55,26673.05,0,INDEX,FINNIFTY,26673.05,1786076186000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:26.903,FINNIFTY,26703.25,26703.25,26614.55,26672.8,0,INDEX,FINNIFTY,26672.8,1786076186000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:27.054,FINNIFTY,26703.25,26703.25,26614.55,26672.95,0,INDEX,FINNIFTY,26672.95,1786076186000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:27.353,FINNIFTY,26703.25,26703.25,26614.55,26672.85,0,INDEX,FINNIFTY,26672.85,1786076187000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:27.653,FINNIFTY,26703.25,26703.25,26614.55,26672.8,0,INDEX,FINNIFTY,26672.8,1786076187000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:27.803,FINNIFTY,26703.25,26703.25,26614.55,26673.3,0,INDEX,FINNIFTY,26673.3,1786076187000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:28.103,FINNIFTY,26703.25,26703.25,26614.55,26673.75,0,INDEX,FINNIFTY,26673.75,1786076187000,0,26863.5,INDICES,0,1786041000000
2026-08-07 09:46:28.402,FINNIFTY,26703.25,26703.25,26614.55,26674.9,0,INDEX,FINNIFTY,26674.9,1786076188000,0,26863.5,INDICES,0,1786041000000
