datetime,open,high,low,close,volume
2026-07-22 09:02:09,24048.55,24048.55,24042.95,24042.95,0
2026-07-22 09:02:10,24043.8,24043.8,24043.2,24043.45,0
2026-07-22 09:02:11,24043.8,24067.25,24043.8,24063.85,0
2026-07-22 09:02:12,24062.1,24062.5,24061.75,24062.5,0
2026-07-22 09:02:13,24062.9,24063.15,24062.45,24063.15,0
2026-07-22 09:02:14,24060.4,24065.15,24060.4,24063.2,0
2026-07-22 09:02:15,24064.4,24064.4,24063.45,24063.6,0
2026-07-22 09:02:16,24063.0,24065.05,24063.0,24065.05,0
2026-07-22 09:02:17,24064.65,24065.65,24064.65,24065.65,0
2026-07-22 09:02:18,24066.25,24067.4,24066.25,24067.3,0
2026-07-22 09:02:19,24065.7,24066.4,24065.7,24066.4,0
2026-07-22 09:02:20,24069.35,24070.25,24069.05,24069.75,0
2026-07-22 09:02:21,24070.15,24070.15,24069.4,24069.4,0
2026-07-22 09:02:22,24069.75,24070.9,24069.75,24070.9,0
2026-07-22 09:02:23,24073.95,24073.95,24073.2,24073.5,0
2026-07-22 09:02:24,24074.4,24074.4,24073.35,24073.35,0
2026-07-22 09:02:25,24073.35,24073.35,24072.65,24072.65,0
2026-07-22 09:02:26,24072.65,24072.9,24072.65,24072.9,0
2026-07-22 09:02:27,24073.5,24073.5,24072.95,24072.95,0
2026-07-22 09:02:28,24072.4,24073.9,24072.4,24073.9,0
2026-07-22 09:02:29,24073.9,24074.0,24072.7,24072.7,0
2026-07-22 09:02:30,24072.6,24073.2,24072.6,24073.05,0
2026-07-22 09:02:31,24073.7,24073.7,24073.55,24073.55,0
2026-07-22 09:02:32,24073.55,24074.45,24073.55,24074.45,0
2026-07-22 09:02:33,24073.8,24074.3,24073.8,24074.0,0
2026-07-22 09:02:34,24075.0,24075.85,24075.0,24075.85,0
2026-07-22 09:02:35,24076.1,24076.1,24074.15,24074.7,0
2026-07-22 09:02:36,24076.0,24077.4,24076.0,24077.4,0
2026-07-22 09:02:37,24076.35,24076.35,24075.35,24075.35,0
2026-07-22 09:02:38,24074.0,24075.0,24074.0,24075.0,0
2026-07-22 09:02:39,24075.0,24076.35,24075.0,24075.65,0
2026-07-22 09:02:40,24076.25,24076.25,24076.1,24076.1,0
2026-07-22 09:02:41,24076.1,24076.1,24075.95,24075.95,0
2026-07-22 09:02:42,24075.95,24076.45,24075.95,24076.4,0
2026-07-22 09:02:43,24076.5,24076.5,24075.9,24076.0,0
2026-07-22 09:02:44,24075.85,24077.0,24075.85,24077.0,0
2026-07-22 09:02:45,24076.85,24077.85,24076.85,24077.85,0
2026-07-22 09:02:46,24077.85,24078.5,24077.85,24078.45,0
2026-07-22 09:02:47,24079.5,24079.5,24078.6,24078.6,0
2026-07-22 09:02:48,24078.6,24079.7,24078.6,24079.7,0
2026-07-22 09:02:49,24079.7,24079.7,24078.9,24078.9,0
2026-07-22 09:02:50,24078.6,24079.5,24078.6,24079.5,0
