datetime,name,open,high,low,close,volume,oi,type,expiry,symbol,ltp,ltt,ltq,cp,atp,segment,bid_px,bid_qty,ask_px,ask_qty,bid_px_2,bid_qty_2,ask_px_2,ask_qty_2,bid_px_3,bid_qty_3,ask_px_3,ask_qty_3,bid_px_4,bid_qty_4,ask_px_4,ask_qty_4,bid_px_5,bid_qty_5,ask_px_5,ask_qty_5,ohlc_vol,ohlc_ts,tbq,tsq,vtt
2026-08-07 09:46:13.219,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65706.15,30,65770.05,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:14.933,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65706.15,30,65768.05,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:15.977,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65706.15,30,65770.35,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:15.624,BANKEX,,,,,0,0,FUT,2026-09-24,BANKEX FUT 24 SEP 26,65402.0,1785476126211,30,66381.5,0.0,BFO-FUT,65801.2,30,66397.7,30,65801.1,30,66397.75,30,65706.4,30,66499.7,30,65501.2,30,66499.9,30,65501.1,30,66998.4,30,,,480,480,0
2026-08-07 09:46:17.033,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65706.15,30,65768.35,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:18.075,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65706.15,30,65766.3,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:17.944,BANKEX,,,,,0,0,FUT,2026-10-29,BANKEX FUT 29 OCT 26,0.0,0,0,66732.45,0.0,BFO-FUT,66000.2,30,66697.4,30,66000.15,30,66697.55,30,65906.35,30,66999.0,30,65704.2,30,66999.7,30,65704.1,30,0.0,0,,,240,120,0
2026-08-07 09:46:19.130,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65698.75,30,65764.3,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:21.250,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65698.6,30,65764.75,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:22.299,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65698.6,30,65762.75,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:24.377,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65696.5,30,65760.7,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:25.427,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65700.55,30,65765.8,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:27.524,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65700.55,30,65763.8,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:31.747,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65706.6,30,65771.25,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:32.634,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65708.65,30,65772.5,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:33.828,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65709.2,30,65772.5,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:34.736,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65702.7,30,65768.45,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:35.789,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65704.7,30,65768.45,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:36.977,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65704.7,30,65770.65,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
2026-08-07 09:46:38.926,BANKEX,,,,,0,120,FUT,2026-08-27,BANKEX FUT 27 AUG 26,65798.8,1786003688206,30,65798.8,0.0,BFO-FUT,65704.6,30,65768.65,30,65507.4,60,66042.9,60,65507.25,30,66043.3,30,65001.05,30,66493.15,30,64510.0,300,66496.9,30,,,2250,1680,0
