datetime,name,open,high,low,close,volume,type,symbol,ltp,ltt,ltq,cp,segment,ohlc_vol,ohlc_ts
2026-08-07 09:46:17.944,BANKEX,65629.34,65676.78,65500.32,65572.22,0,INDEX,BANKEX,65572.22,1786076177070,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:18.206,BANKEX,65629.34,65676.78,65500.32,65573.01,0,INDEX,BANKEX,65573.01,1786076178070,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:19.259,BANKEX,65629.34,65676.78,65500.32,65574.03,0,INDEX,BANKEX,65574.03,1786076179071,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:20.156,BANKEX,65629.34,65676.78,65500.32,65570.44,0,INDEX,BANKEX,65570.44,1786076180072,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:21.217,BANKEX,65629.34,65676.78,65500.32,65565.68,0,INDEX,BANKEX,65565.68,1786076181072,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:22.256,BANKEX,65629.34,65676.78,65500.32,65564.24,0,INDEX,BANKEX,65564.24,1786076182075,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:23.154,BANKEX,65629.34,65676.78,65500.32,65564.24,0,INDEX,BANKEX,65564.24,1786076183075,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:24.204,BANKEX,65629.34,65676.78,65500.32,65568.99,0,INDEX,BANKEX,65568.99,1786076184076,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:25.258,BANKEX,65629.34,65676.78,65500.32,65575.07,0,INDEX,BANKEX,65575.07,1786076185078,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:26.154,BANKEX,65629.34,65676.78,65500.32,65575.07,0,INDEX,BANKEX,65575.07,1786076186079,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:27.205,BANKEX,65629.34,65676.78,65500.32,65574.28,0,INDEX,BANKEX,65574.28,1786076187079,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:28.258,BANKEX,65629.34,65676.78,65500.32,65570.32,0,INDEX,BANKEX,65570.32,1786076188080,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:29.155,BANKEX,65629.34,65676.78,65500.32,65576.78,0,INDEX,BANKEX,65576.78,1786076189080,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:30.208,BANKEX,65629.34,65676.78,65500.32,65572.02,0,INDEX,BANKEX,65572.02,1786076190081,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:31.257,BANKEX,65629.34,65676.78,65500.32,65573.02,0,INDEX,BANKEX,65573.02,1786076191082,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:32.156,BANKEX,65629.34,65676.78,65500.32,65579.82,0,INDEX,BANKEX,65579.82,1786076192082,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:33.206,BANKEX,65629.34,65676.78,65500.32,65578.52,0,INDEX,BANKEX,65578.52,1786076193083,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:34.258,BANKEX,65629.34,65676.78,65500.32,65578.37,0,INDEX,BANKEX,65578.37,1786076194084,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:35.306,BANKEX,65629.34,65676.78,65500.32,65580.49,0,INDEX,BANKEX,65580.49,1786076195084,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:36.205,BANKEX,65629.34,65676.78,65500.32,65580.49,0,INDEX,BANKEX,65580.49,1786076196085,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:37.257,BANKEX,65629.34,65676.78,65500.32,65581.18,0,INDEX,BANKEX,65581.18,1786076197085,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:38.307,BANKEX,65629.34,65676.78,65500.32,65577.63,0,INDEX,BANKEX,65577.63,1786076198086,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:39.207,BANKEX,65629.34,65676.78,65500.32,65574.6,0,INDEX,BANKEX,65574.6,1786076199087,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:40.257,BANKEX,65629.34,65676.78,65500.32,65574.6,0,INDEX,BANKEX,65574.6,1786076200087,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:41.308,BANKEX,65629.34,65676.78,65500.32,65572.9,0,INDEX,BANKEX,65572.9,1786076201088,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:42.213,BANKEX,65629.34,65676.78,65500.32,65574.51,0,INDEX,BANKEX,65574.51,1786076202088,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:43.259,BANKEX,65629.34,65676.78,65500.32,65574.51,0,INDEX,BANKEX,65574.51,1786076203089,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:44.308,BANKEX,65629.34,65676.78,65500.32,65574.51,0,INDEX,BANKEX,65574.51,1786076204090,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:45.206,BANKEX,65629.34,65676.78,65500.32,65573.46,0,INDEX,BANKEX,65573.46,1786076205092,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:46.266,BANKEX,65629.34,65676.78,65500.32,65573.94,0,INDEX,BANKEX,65573.94,1786076206094,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:47.306,BANKEX,65629.34,65676.78,65500.32,65573.94,0,INDEX,BANKEX,65573.94,1786076207094,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:48.211,BANKEX,65629.34,65676.78,65500.32,65574.34,0,INDEX,BANKEX,65574.34,1786076208095,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:49.257,BANKEX,65629.34,65676.78,65500.32,65574.34,0,INDEX,BANKEX,65574.34,1786076209096,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:50.308,BANKEX,65629.34,65676.78,65500.32,65574.34,0,INDEX,BANKEX,65574.34,1786076210098,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:51.206,BANKEX,65629.34,65676.78,65500.32,65575.19,0,INDEX,BANKEX,65575.19,1786076211099,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:52.257,BANKEX,65629.34,65676.78,65500.32,65577.16,0,INDEX,BANKEX,65577.16,1786076212099,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:53.307,BANKEX,65629.34,65676.78,65500.32,65577.16,0,INDEX,BANKEX,65577.16,1786076213100,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:54.206,BANKEX,65629.34,65676.78,65500.32,65579.1,0,INDEX,BANKEX,65579.1,1786076214101,0,65893.16,INDICES,0,1786041000000
2026-08-07 09:46:55.259,BANKEX,65629.34,65676.78,65500.32,65580.64,0,INDEX,BANKEX,65580.64,1786076215103,0,65893.16,INDICES,0,1786041000000
