datetime,name,open,high,low,close,volume,oi,type,expiry,symbol,ltp,ltt,ltq,cp,atp,segment,bid_px,bid_qty,ask_px,ask_qty,bid_px_2,bid_qty_2,ask_px_2,ask_qty_2,bid_px_3,bid_qty_3,ask_px_3,ask_qty_3,bid_px_4,bid_qty_4,ask_px_4,ask_qty_4,bid_px_5,bid_qty_5,ask_px_5,ask_qty_5,ohlc_vol,ohlc_ts,tbq,tsq,vtt
2026-08-07 09:46:13.219,SENSEX,78993.0,79043.25,78905.0,79043.25,5140,37220,FUT,2026-08-27,SENSEX FUT 27 AUG 26,79043.25,1786076100283,20,79169.3,78977.79,BFO-FUT,78980.0,40,79016.25,40,78973.9,40,79017.95,20,78970.0,60,79018.35,20,78965.0,20,79019.1,40,78964.6,20,79020.05,40,5140.0,1786041000000.0,5900,4580,5140
2026-08-07 09:46:13.288,SENSEX,78993.0,79043.25,78905.0,79043.25,5140,37220,FUT,2026-08-27,SENSEX FUT 27 AUG 26,79043.25,1786076100283,20,79169.3,78977.79,BFO-FUT,78980.0,40,79016.25,40,78973.9,40,79017.95,20,78970.0,60,79018.35,20,78965.0,20,79019.1,40,78964.6,20,79020.05,40,5140.0,1786041000000.0,5900,4580,5140
2026-08-07 09:46:14.340,SENSEX,78993.0,79043.25,78905.0,79043.25,5140,37220,FUT,2026-08-27,SENSEX FUT 27 AUG 26,79043.25,1786076100283,20,79169.3,78977.79,BFO-FUT,78980.0,40,79014.7,40,78973.9,40,79015.45,20,78970.0,60,79016.5,80,78965.0,20,79016.55,40,78964.6,20,79016.8,20,5140.0,1786041000000.0,5780,4580,5140
2026-08-07 09:46:15.378,SENSEX,78993.0,79043.25,78905.0,79043.25,5140,37220,FUT,2026-08-27,SENSEX FUT 27 AUG 26,79043.25,1786076100283,20,79169.3,78977.79,BFO-FUT,78980.0,40,79010.0,40,78973.9,40,79011.5,20,78970.0,60,79012.85,40,78965.0,20,79012.9,40,78964.6,20,79013.1,40,5140.0,1786041000000.0,5920,4580,5140
2026-08-07 09:46:15.624,SENSEX,79359.45,79428.55,79325.0,79402.4,440,3620,FUT,2026-09-24,SENSEX FUT 24 SEP 26,79402.4,1786075199750,20,79559.45,79362.21,BFO-FUT,79333.0,20,79380.0,20,79330.8,20,79404.5,20,79330.0,80,79417.5,100,79306.95,40,79417.95,40,79305.0,20,79428.1,20,440.0,1786041000000.0,900,740,440
2026-08-07 09:46:16.429,SENSEX,78993.0,79043.25,78905.0,79043.25,5140,37220,FUT,2026-08-27,SENSEX FUT 27 AUG 26,79043.25,1786076100283,20,79169.3,78977.79,BFO-FUT,78980.0,40,79011.45,20,78973.9,40,79011.7,40,78970.0,60,79012.25,40,78965.0,20,79013.4,40,78955.7,40,79013.45,40,5140.0,1786041000000.0,5900,4500,5140
2026-08-07 09:46:16.442,SENSEX,79359.45,79428.55,79325.0,79402.4,440,3620,FUT,2026-09-24,SENSEX FUT 24 SEP 26,79402.4,1786075199750,20,79559.45,79362.21,BFO-FUT,79337.25,20,79380.0,20,79333.0,20,79404.85,20,79331.55,20,79417.15,100,79330.0,80,79417.45,100,79305.0,20,79417.9,40,440.0,1786041000000.0,920,840,440
2026-08-07 09:46:16.579,SENSEX,78993.0,79043.25,78905.0,79043.25,5140,37220,FUT,2026-08-27,SENSEX FUT 27 AUG 26,79043.25,1786076100283,20,79169.3,78977.79,BFO-FUT,78980.0,40,79011.45,20,78973.9,40,79011.7,40,78970.0,60,79012.8,40,78965.0,20,79013.4,40,78955.7,40,79013.45,40,5140.0,1786041000000.0,5900,4440,5140
2026-08-07 09:46:17.478,SENSEX,78993.0,79043.25,78905.0,79043.25,5140,37220,FUT,2026-08-27,SENSEX FUT 27 AUG 26,79043.25,1786076100283,20,79169.3,78977.79,BFO-FUT,78980.0,40,79010.6,40,78973.9,40,79010.75,20,78970.0,60,79010.9,20,78965.0,20,79011.55,40,78955.3,40,79011.95,20,5140.0,1786041000000.0,5840,4620,5140
2026-08-07 09:46:17.491,SENSEX,79359.45,79428.55,79325.0,79402.4,440,3620,FUT,2026-09-24,SENSEX FUT 24 SEP 26,79402.4,1786075199750,20,79559.45,79362.21,BFO-FUT,79333.0,20,79380.0,20,79332.35,20,79403.85,20,79331.3,20,79412.05,100,79330.0,80,79412.35,100,79305.0,20,79412.8,40,440.0,1786041000000.0,920,840,440
2026-08-07 09:46:17.631,SENSEX,78993.0,79043.25,78905.0,79043.25,5140,37220,FUT,2026-08-27,SENSEX FUT 27 AUG 26,79043.25,1786076100283,20,79169.3,78977.79,BFO-FUT,78980.0,40,79010.5,20,78973.9,40,79010.6,40,78970.0,60,79010.9,20,78965.0,20,79011.3,40,78955.3,40,79011.85,40,5140.0,1786041000000.0,5800,4620,5140
2026-08-07 09:46:17.645,SENSEX,79359.45,79428.55,79325.0,79402.4,440,3620,FUT,2026-09-24,SENSEX FUT 24 SEP 26,79402.4,1786075199750,20,79559.45,79362.21,BFO-FUT,79333.0,20,79380.0,20,79332.35,20,79403.45,20,79331.3,20,79412.0,100,79330.0,80,79412.3,100,79305.0,20,79412.75,40,440.0,1786041000000.0,920,840,440
