datetime,name,open,high,low,close,volume,type,symbol,ltp,ltt,ltq,cp,segment,ohlc_vol,ohlc_ts
2026-08-07 09:46:13.219,SENSEX,78516.08,78757.4,78451.99,78704.77,0,INDEX,SENSEX,78704.77,1786076173064,0,78954.76,INDICES,0,1786041000000
2026-08-07 09:46:13.288,SENSEX,78516.08,78757.4,78451.99,78704.77,0,INDEX,SENSEX,78704.77,1786076173064,0,78954.76,INDICES,0,1786041000000
2026-08-07 09:46:14.179,SENSEX,78516.08,78757.4,78451.99,78700.77,0,INDEX,SENSEX,78700.77,1786076174065,0,78954.76,INDICES,0,1786041000000
2026-08-07 09:46:15.240,SENSEX,78516.08,78757.4,78451.99,78697.57,0,INDEX,SENSEX,78697.57,1786076175067,0,78954.76,INDICES,0,1786041000000
2026-08-07 09:46:16.291,SENSEX,78516.08,78757.4,78451.99,78697.19,0,INDEX,SENSEX,78697.19,1786076176069,0,78954.76,INDICES,0,1786041000000
2026-08-07 09:46:17.188,SENSEX,78516.08,78757.4,78451.99,78694.89,0,INDEX,SENSEX,78694.89,1786076177070,0,78954.76,INDICES,0,1786041000000
2026-08-07 09:46:18.237,SENSEX,78516.08,78757.4,78451.99,78695.68,0,INDEX,SENSEX,78695.68,1786076178070,0,78954.76,INDICES,0,1786041000000
2026-08-07 09:46:19.302,SENSEX,78516.08,78757.4,78451.99,78695.13,0,INDEX,SENSEX,78695.13,1786076179071,0,78954.76,INDICES,0,1786041000000
2026-08-07 09:46:20.192,SENSEX,78516.08,78757.4,78451.99,78690.31,0,INDEX,SENSEX,78690.31,1786076180072,0,78954.76,INDICES,0,1786041000000
2026-08-07 09:46:21.250,SENSEX,78516.08,78757.4,78451.99,78687.58,0,INDEX,SENSEX,78687.58,1786076181072,0,78954.76,INDICES,0,1786041000000
2026-08-07 09:46:22.299,SENSEX,78516.08,78757.4,78451.99,78687.87,0,INDEX,SENSEX,78687.87,1786076182075,0,78954.76,INDICES,0,1786041000000
2026-08-07 09:46:23.179,SENSEX,78516.08,78757.4,78451.99,78686.84,0,INDEX,SENSEX,78686.84,1786076183075,0,78954.76,INDICES,0,1786041000000
