datetime,name,open,high,low,close,volume,oi,iv,expiry,strike,type,segment,symbol,delta,gamma,theta,vega,rho,atp,ltp,ltt,ltq,cp,bid_px,bid_qty,ask_px,ask_qty,bid_px_2,bid_qty_2,ask_px_2,ask_qty_2,bid_px_3,bid_qty_3,ask_px_3,ask_qty_3,bid_px_4,bid_qty_4,ask_px_4,ask_qty_4,bid_px_5,bid_qty_5,ask_px_5,ask_qty_5,ohlc_vol,ohlc_ts,tbq,tsq,vtt
2026-08-07 09:46:13.219,SENSEX,179.35,198.0,168.65,193.45,5800,3420,0.11938095092773438,2026-08-20,80500.0,CE,BFO-OPT,SENSEX 80500 CE 20 AUG 26,0.1962,0.0002,-18.7576,41.6026,5.5474,188.97,193.45,1786076126223,20,228.25,191.35,20,193.1,20,191.3,80,193.15,20,191.0,80,193.25,20,190.7,20,193.55,20,190.65,60,193.65,160,5800.0,1786041000000.0,2000,2660,5800
2026-08-07 09:46:13.219,SENSEX,,,,,0,0,0.0,2026-09-03,79300.0,CE,BFO-OPT,SENSEX 79300 CE 03 SEP 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1390.15,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,0,0,0
2026-08-07 09:46:13.219,SENSEX,,,,,0,0,0.0,2026-09-10,75800.0,CE,BFO-OPT,SENSEX 75800 CE 10 SEP 26,1.0,0.0,0.0,0.0,71.1068,0.0,0.0,0,0,3917.05,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,0,0,0
2026-08-07 09:46:13.219,SENSEX,,,,,0,0,0.0,2026-09-03,78400.0,CE,BFO-OPT,SENSEX 78400 CE 03 SEP 26,1.0,0.0,0.0,0.0,58.5222,0.0,0.0,0,0,1875.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,0,0,0
2026-08-07 09:46:13.219,SENSEX,,,,,0,0,0.0,2026-09-10,82800.0,CE,BFO-OPT,SENSEX 82800 CE 10 SEP 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,436.7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,0,0,0
2026-08-07 09:46:13.219,SENSEX,,,,,0,0,0.0,2026-08-13,74700.0,CE,BFO-OPT,SENSEX 74700 CE 13 AUG 26,1.0,0.0,0.0,0.0,12.7698,0.0,0.0,0,0,4336.45,2762.4,500,5671.45,500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,500,500,0
2026-08-07 09:46:13.219,SENSEX,1298.4,1364.95,1298.4,1358.5,220,420,0.1227569580078125,2026-08-20,77900.0,CE,BFO-OPT,SENSEX 77900 CE 20 AUG 26,0.7168,0.0002,-23.59,50.8815,20.0272,1326.59,1358.5,1786075462480,20,1398.95,1360.7,20,1381.0,140,1340.5,400,1381.05,20,1328.9,100,1381.15,20,1328.85,60,1381.2,20,1327.05,140,1381.25,20,220.0,1786041000000.0,1780,1920,220
2026-08-07 09:46:13.219,SENSEX,,,,,0,0,0.0,2026-09-10,72500.0,CE,BFO-OPT,SENSEX 72500 CE 10 SEP 26,1.0,0.0,0.0,0.0,68.0086,0.0,0.0,0,0,6885.85,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,0,0,0
2026-08-07 09:46:13.219,SENSEX,,,,,0,0,0.0,2026-09-10,72400.0,CE,BFO-OPT,SENSEX 72400 CE 10 SEP 26,1.0,0.0,0.0,0.0,67.9171,0.0,0.0,0,0,6981.9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,0,0,0
2026-08-07 09:46:13.219,SENSEX,,,,,0,0,0.0,2026-08-27,67100.0,PE,BFO-OPT,SENSEX 67100 PE 27 AUG 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.05,0.15,900,0.0,0,0.05,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,1200,0,0
2026-08-07 09:46:13.219,SENSEX,,,,,0,160,0.20816802978515625,2026-08-13,76900.0,CE,BFO-OPT,SENSEX 76900 CE 13 AUG 26,0.8206,0.0001,-45.0091,26.9783,10.6917,0.0,2127.0,1786008329337,20,2127.0,1898.95,1000,2911.05,100,1898.9,20,2911.1,2000,1898.8,20,2911.2,20,1883.25,1000,2911.4,20,21.65,9000,0.0,0,,,11240,2140,0
2026-08-07 09:46:13.219,SENSEX,,,,,0,0,0.0,2026-08-27,67400.0,CE,BFO-OPT,SENSEX 67400 CE 27 AUG 26,1.0,0.0,0.0,0.0,37.3725,0.0,0.0,0,0,11767.7,9976.9,320,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,320,0,0
2026-08-07 09:46:13.219,SENSEX,354.9,368.65,354.9,368.65,60,500,0.13048171997070312,2026-08-20,77900.0,PE,BFO-OPT,SENSEX 77900 PE 20 AUG 26,-0.2943,0.0002,-25.5327,51.8114,-8.5599,363.85,368.65,1786076166724,20,488.2,363.85,180,371.65,80,363.8,40,372.2,80,363.6,80,372.25,80,363.55,80,372.65,80,354.4,80,376.65,40,60.0,1786041000000.0,1920,1540,60
2026-08-07 09:46:13.219,SENSEX,,,,,0,0,0.0,2026-09-03,71200.0,PE,BFO-OPT,SENSEX 71200 PE 03 SEP 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,,0,0,0
